2022-10-13 12:31:55 INFO     initialize serial...
2022-10-13 12:31:55 INFO     initialize mqtt...
2022-10-13 12:31:55 INFO     waiting MQTT connected ...
2022-10-13 12:31:55 INFO     MQTT connect successful!
2022-10-13 12:36:21 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD52007F: B0520163
2022-10-13 12:36:23 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD41006C: B0410071
2022-10-13 12:36:23 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD52007F: B0520163
2022-10-13 12:36:23 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD41006C: B0560066
2022-10-13 12:36:23 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD56007B: B0410071
2022-10-13 12:36:23 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD52007F: B0520163
2022-10-13 12:36:23 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD41006C: B0410071
2022-10-13 12:36:25 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD52007F: B0520163
2022-10-13 12:36:25 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD41006C: B0410071
2022-10-13 12:36:25 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD52007F: B0520163
2022-10-13 12:36:25 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD41006C: B0410071
2022-10-13 12:36:25 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD52007F: B0520163
2022-10-13 12:36:26 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD41006C: B0410071
2022-10-13 12:36:26 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD52007F: B0520163
2022-10-13 12:36:26 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD41006C: B0410071
2022-10-13 12:36:26 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD52007F: B0520163
2022-10-13 12:36:26 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD41006C: B0410071
2022-10-13 12:36:28 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD52007F: B0520163
2022-10-13 12:36:28 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD41006C: B0410071
2022-10-13 12:36:28 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD52007F: B0520163
2022-10-13 12:36:28 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD41006C: B0410071
2022-10-13 12:36:28 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD52007F: B0520163
2022-10-13 12:36:30 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD41006C: B0410071
2022-10-13 12:36:30 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD52007F: B0520163
2022-10-13 12:36:30 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD41006C: B0410071
2022-10-13 12:36:30 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD52007F: B0520163
2022-10-13 12:36:30 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD41006C: B0410071
2022-10-13 12:36:30 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD52007F: B0520163
2022-10-13 12:36:32 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD41006C: B0410071
2022-10-13 12:36:32 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD52007F: B0520163
2022-10-13 12:36:32 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD41006C: B0410071
2022-10-13 12:36:32 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD52007F: B0520163
2022-10-13 12:36:32 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD41006C: B0560066
2022-10-13 12:36:34 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD56007B: B0410071
2022-10-13 12:36:34 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD52007F: B0520163
2022-10-13 12:36:34 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD41006C: B0410071
2022-10-13 12:36:34 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD52007F: B0520163
2022-10-13 12:36:34 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD41006C: B0410071
2022-10-13 12:36:35 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD52007F: B0520163
2022-10-13 12:36:35 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD41006C: B0410071
2022-10-13 12:36:36 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD52007F: B0520163
2022-10-13 12:36:36 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD41006C: B0410071
2022-10-13 12:36:36 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD52007F: B0520163
2022-10-13 12:36:37 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD41006C: B0410071
2022-10-13 12:36:37 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD52007F: B0520163
2022-10-13 12:36:37 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD41006C: B0410071
2022-10-13 12:36:37 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD52007F: B0520163
2022-10-13 12:36:37 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000550: B07915005C,  AD41006C: B0410071
2022-10-13 12:36:37 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000653: B07916005F,  AD52007F: B0520163
2022-10-13 12:36:39 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC41006D,  AD41006C: B0410071
2022-10-13 12:36:39 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000154: B079310078,  AD52007F: B0520163
2022-10-13 12:36:39 INFO     A15A007B,  A25A0078,  A35A0079,  A45A007E,  A5410064: B0410071,  A6410067: B0410071,  AC79000451: B07914005D,  AD41006C: B0410071
